account_id,risk_level,final_risk_score,funding_score,organized_score,bonus_score,funding_fee_abs,mean_holding_minutes,funding_timing_ratio,funding_profit_ratio,ip_shared_count,mean_leverage,total_reward,shared_ip_bonus
A_e95b2c5030,High,0.4499999999999999,0.25,1.0,0.0,0.0,0.4788890552380953,0.2285714285714285,0.0,3,62.82857142857143,0.0,1.0
A_1f97e16953,High,0.5183074730903058,0.6846842795622137,0.6983821750440582,0.0,81.79935485961798,23.47124976493055,0.3919597989949748,0.0424909099841759,3,20.494949494949495,0.0,1.0
A_f96ede8d34,High,0.44875,0.4,0.325,0.7,8.520530660624065,193.28628350928383,0.7630922693266833,0.3761298202979814,2,13.581395348837209,796.0282943435294,2.0
A_d444580218,Critical,0.6275550608076174,0.9790470957756882,0.325,0.4887448899893684,47.96629570241461,6.961226379281346,0.8727272727272727,0.3643964475623695,2,13.945701357466064,336.89586676478524,2.0
