account_id,funding_fee_abs,mean_holding_minutes,funding_timing_ratio,funding_profit_ratio,ip_shared_count,mean_leverage,total_reward,shared_ip_bonus,final_risk_score,risk_level,funding_score,organized_score,bonus_score,s1_fee,s2_holding,s3_timing,s4_profit,s5_ip,s6_leverage,s7_reward,s8_shared_ip,funding_contrib,organized_contrib,bonus_contrib
A_4081f88bb0,5.944400689432889,441.8922919696281,0.2283033620015637,0.0034670949204397,2,37.311053984575835,40.398781979999995,2.0,0.3112499999999999,Medium,0.0,0.675,0.3,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.23625,0.075
A_e27beda014,0.0917057859828514,19.79067424601064,0.2433510638297872,0.0003273587853733,2,20.40691489361702,13.9435062,2.0,0.2866832682544211,Medium,0.2036563183195328,0.3720592597903085,0.3,0.0,0.8146252732781312,0.0,0.0,0.5,0.13445502797231,0.0,0.5,0.08146252732781312,0.130220740926608,0.075
A_e8e9d04acc,1.2878498573338786,14.807740033584906,0.3870056497175141,0.0160356580542547,1,31.178571428571427,17.4480334,1.0,0.2725130728208772,Medium,0.3793415462186345,0.3450755838097812,0.0,0.0,0.917366184874538,1.0,0.0,0.0,0.9859302394565178,0.0,0.0,0.1517366184874538,0.12077645433342342,0.0
A_cab220ef3c,33.5566272968938,3012.0902602322935,0.5254237288135594,0.000513269311201,1,5.459293394777266,1773.536295645769,1.0,0.3,Medium,0.5,0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.1
A_26ffea8fd9,6.040131299741508,1755.401665375055,0.277027027027027,0.046928769643429,2,7.899099099099099,243.54482001104577,2.0,0.2110366341284696,Medium,0.0,0.325,0.3891465365138788,0.0,0.0,0.0,0.0,0.5,0.0,0.222866341284697,0.5,0.0,0.11374999999999999,0.0972866341284697
A_4943ad62b4,0.0781324756792171,29.099476679867987,0.2237623762376237,0.002974632443672,2,16.487128712871286,37.42156931674209,2.0,0.2533786793936767,Medium,0.1556728006192372,0.3317415975599482,0.3,0.0,0.6226912024769488,0.0,0.0,0.5,0.0192617073141377,0.0,0.5,0.062269120247694876,0.11610955914598187,0.075
A_c462ca9c6b,2.1233561734238,697.3914658917114,0.2556390977443609,0.0925404967192211,2,10.749731471535982,95.71786964226136,2.0,0.1887499999999999,Low,0.0,0.325,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.11374999999999999,0.075
A_dcd87c6c96,2.2942161777946275,137.67959262698412,0.2066115702479339,5.494166995457808e-05,1,99.33557046979864,584.82338025,1.0,0.2224999999999999,Medium,0.0,0.35,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12249999999999998,0.1
A_e7205c325a,3.860496940139338,193.5614362121399,0.2337662337662337,0.0001676238771335,1,100.0,584.7787135833333,1.0,0.2224999999999999,Medium,0.0,0.35,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.12249999999999998,0.1
A_48fbd03d61,1.0328054134373388,393.1024633135417,0.3235294117647059,0.4582559895466599,2,1.475,106.0,2.0,0.3195696078431372,Medium,0.3270490196078431,0.325,0.3,0.0,0.0,0.5136601307189544,1.0,0.5,0.0,0.0,0.5,0.13081960784313726,0.11374999999999999,0.075
A_9a5e1e7fac,0.0722617390935988,37.34272484550525,0.2925270403146509,0.622971642356698,2,45.636811023622045,0.0,1.0,0.3916740924870759,Medium,0.38856023121769,0.675,0.0,0.0,0.4527273227730876,0.1691893368294542,1.0,0.5,1.0,0.0,0.0,0.155424092487076,0.23625,0.0
A_6b3a8b213d,0.0,0.8186012018518518,0.6216216216216216,0.0,3,14.38888888888889,0.0,1.0,0.3875345573850396,Medium,0.4,0.6500987353858275,0.0,0.0,1.0,1.0,0.0,1.0,0.0002821011023643,0.0,0.0,0.16000000000000003,0.2275345573850396,0.0
A_1f97e16953,81.79935485961798,23.47124976493055,0.3919597989949748,0.0424909099841759,3,20.494949494949495,0.0,1.0,0.5183074730903058,High,0.6846842795622137,0.6983821750440582,0.0,1.0,0.7387371182488547,1.0,0.0,1.0,0.1382347858401662,0.0,0.0,0.27387371182488546,0.24443376126542035,0.0
A_8413984c30,87.7069039398544,85.04738612083332,0.2017543859649122,0.0395590394822163,2,10.426470588235292,0.0,1.0,0.25375,Medium,0.35,0.325,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.13999999999999999,0.11374999999999999,0.0
A_8860be39b3,63.935834969537744,83.57682780352113,0.1841004184100418,0.0122022235751588,2,9.295774647887324,10.0,1.0,0.25375,Medium,0.35,0.325,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.13999999999999999,0.11374999999999999,0.0
A_f96ede8d34,8.520530660624065,193.28628350928383,0.7630922693266833,0.3761298202979814,2,13.581395348837209,796.0282943435294,2.0,0.44875,High,0.4,0.325,0.7,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5,0.16000000000000003,0.11374999999999999,0.175
A_d444580218,47.96629570241461,6.961226379281346,0.8727272727272727,0.3643964475623695,2,13.945701357466064,336.89586676478524,2.0,0.6275550608076174,Critical,0.9790470957756882,0.325,0.4887448899893684,1.0,1.0,1.0,0.9161883831027526,0.5,0.0,0.4718622249734209,0.5,0.3916188383102753,0.11374999999999999,0.1221862224973421
