account_id,final_risk_score,risk_level,funding_score,organized_score,bonus_score,s1_fee,s2_holding,s3_timing,s4_profit,s5_ip,s6_leverage,s7_reward,s8_shared_ip
A_d444580218,0.6275550608076174,Critical,0.9790470957756882,0.325,0.4887448899893684,1.0,1.0,1.0,0.9161883831027526,0.5,0.0,0.47186222497342095,0.5
A_1f97e16953,0.5183074730903058,High,0.6846842795622137,0.6983821750440582,0.0,1.0,0.7387371182488547,1.0,0.0,1.0,0.13823478584016627,0.0,0.0
A_e95b2c5030,0.44999999999999996,High,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
A_f96ede8d34,0.44875000000000004,High,0.4,0.325,0.7,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.5
