account_id,funding_fee_abs,funding_fee_abs_risk,mean_holding_minutes,mean_holding_risk,funding_timing_ratio,funding_timing_risk,funding_profit_ratio,funding_profit_ratio_risk,pattern1_risk,ip_shared_count,ip_shared_risk,mean_leverage,mean_leverage_risk,pattern2_risk,total_reward,total_reward_risk,reward_ip_shared_count,reward_ip_shared_risk,pattern3_risk,final_risk,total_profit_usd,detection_time,reviewed
A_40cfe40ac2,0.029915996102233562,NORMAL,3306.6983300050847,NORMAL,26.374859708193043,NORMAL,1.3837412864466172,NORMAL,NORMAL,1,NORMAL,0.8282828282828283,NORMAL,NORMAL,2.981442,NORMAL,1,NORMAL,NORMAL,NORMAL,5627.593728454114,2025-10-31 20:00:38.588185,False
A_48fbd03d61,1.0328054134373388,NORMAL,393.10246331354165,NORMAL,32.35294117647059,SUSPICIOUS,1.3480642424771148,NORMAL,NORMAL,2,SUSPICIOUS,0.6941176470588235,NORMAL,SUSPICIOUS,106.0,NORMAL,2,HIGH,HIGH,HIGH,4596.837662006218,2025-10-31 20:00:38.588185,False
A_4943ad62b4,0.07813247567921716,NORMAL,29.099476679867987,SUSPICIOUS,22.37623762376238,NORMAL,0.15094260166875748,NORMAL,NORMAL,2,SUSPICIOUS,8.243564356435643,NORMAL,SUSPICIOUS,37.42156931674209,NORMAL,2,HIGH,HIGH,HIGH,2225.810617454216,2025-10-31 20:00:38.588185,False
A_507a86d368,2.580878101908312,NORMAL,225.4479330736257,NORMAL,24.541484716157207,NORMAL,1.385355011092799,NORMAL,NORMAL,1,NORMAL,1.782532751091703,NORMAL,NORMAL,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,90540.45695752747,2025-10-31 20:00:38.588185,False
A_522c68dd44,0.28361379859754265,NORMAL,388.2250378882576,NORMAL,29.35026138909634,SUSPICIOUS,1.3627231543079588,NORMAL,NORMAL,1,NORMAL,4.09932785660941,NORMAL,NORMAL,2.97593,NORMAL,1,NORMAL,NORMAL,NORMAL,29865.626022487486,2025-10-31 20:00:38.588185,False
A_55021b4ae2,0.014236080378043409,NORMAL,27.68242732631579,SUSPICIOUS,28.947368421052634,SUSPICIOUS,0.01972578898469584,NORMAL,NORMAL,1,NORMAL,5.7894736842105265,NORMAL,NORMAL,534.89877,SUSPICIOUS,1,NORMAL,SUSPICIOUS,NORMAL,1515.567707687937,2025-10-31 20:00:38.588185,False
A_59b90616d6,0.11129598300894465,NORMAL,39.68797632137042,SUSPICIOUS,26.0498687664042,NORMAL,0.33761593649341204,NORMAL,NORMAL,1,NORMAL,40.45734908136483,HIGH,HIGH,35.45448905644916,NORMAL,1,NORMAL,NORMAL,HIGH,4648.102150404276,2025-10-31 20:00:38.588185,False
A_5cd5d675fd,0.007571319084819982,NORMAL,90.2676337088694,NORMAL,25.730994152046783,NORMAL,0.17495834456790055,NORMAL,NORMAL,1,NORMAL,9.008771929824562,NORMAL,NORMAL,12.2569515,NORMAL,1,NORMAL,NORMAL,NORMAL,471.697295880245,2025-10-31 20:00:38.588185,False
A_60a63690ae,0.07507041748008964,NORMAL,493.3082443917056,NORMAL,24.601063829787233,NORMAL,6.086516169351489,NORMAL,NORMAL,1,NORMAL,10.412234042553191,NORMAL,NORMAL,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,984.2443769509216,2025-10-31 20:00:38.588185,False
A_64a414bc30,0.2317802914749981,NORMAL,165.83798113049068,NORMAL,23.337222870478413,NORMAL,1.028221097828963,NORMAL,NORMAL,1,NORMAL,10.269544924154026,NORMAL,NORMAL,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,3088.2365669320748,2025-10-31 20:00:38.588185,False
A_68f6513965,0.0787759100414822,NORMAL,151.04749558985293,NORMAL,20.49418604651163,NORMAL,0.546734371746954,NORMAL,NORMAL,1,NORMAL,9.376453488372093,NORMAL,NORMAL,30.991118571428572,NORMAL,1,NORMAL,NORMAL,NORMAL,1440.844295004147,2025-10-31 20:00:38.588185,False
A_6960c2ee08,0.4099887015601724,NORMAL,169.73112886364797,NORMAL,20.66326530612245,NORMAL,1.11450564396863,NORMAL,NORMAL,1,NORMAL,6.635204081632653,NORMAL,NORMAL,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,5002.977213612185,2025-10-31 20:00:38.588185,False
A_6b3a8b213d,0.0,NORMAL,0.8186012018518518,HIGH,62.16216216216216,HIGH,,NORMAL,HIGH,3,HIGH,7.0,NORMAL,HIGH,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,CRITICAL,2392.7516738000086,2025-10-31 20:00:38.588185,False
A_7620582c70,0.0,NORMAL,0.030644326543209876,HIGH,41.9753086419753,HIGH,,NORMAL,HIGH,1,NORMAL,2.5,NORMAL,NORMAL,20.0,NORMAL,1,NORMAL,NORMAL,HIGH,108.94439970000303,2025-10-31 20:00:38.588185,False
A_78e950c1a2,0.00955468958299512,NORMAL,9.736314781454006,HIGH,23.738872403560833,NORMAL,0.0656752762545743,NORMAL,SUSPICIOUS,1,NORMAL,30.83679525222552,SUSPICIOUS,SUSPICIOUS,21.55457236153846,NORMAL,1,NORMAL,NORMAL,SUSPICIOUS,538.2901066145721,2025-10-31 20:00:38.588185,False
A_7ba723a337,1.4611629182670447,NORMAL,59.41555038207547,NORMAL,13.157894736842104,NORMAL,7.87098953129821,NORMAL,NORMAL,1,NORMAL,13.780701754385966,NORMAL,NORMAL,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,742.5561487306811,2025-10-31 20:00:38.588185,False
A_7e27164ab6,21.100638546035807,SUSPICIOUS,1611.6527370118608,NORMAL,22.89644012944984,NORMAL,5.9437494137704565,NORMAL,NORMAL,1,NORMAL,4.523462783171521,NORMAL,NORMAL,177.79001880157895,SUSPICIOUS,1,NORMAL,SUSPICIOUS,NORMAL,791307.3052869141,2025-10-31 20:00:38.588185,False
A_8413984c30,87.7069039398544,HIGH,85.04738612083332,NORMAL,20.175438596491226,NORMAL,0.36231615117882177,NORMAL,SUSPICIOUS,2,SUSPICIOUS,3.1096491228070176,NORMAL,SUSPICIOUS,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,SUSPICIOUS,266280.1368913383,2025-10-31 20:00:38.588185,False
A_853f70d58b,0.03245643625777632,NORMAL,78.08431161238427,NORMAL,47.56944444444444,HIGH,0.06387805763513073,NORMAL,SUSPICIOUS,1,NORMAL,42.791666666666664,HIGH,HIGH,106.0,NORMAL,1,NORMAL,NORMAL,HIGH,1321.059803542692,2025-10-31 20:00:38.588185,False
A_8860be39b3,63.935834969537744,HIGH,83.57682780352113,NORMAL,18.410041841004183,NORMAL,0.29969128645315907,NORMAL,SUSPICIOUS,2,SUSPICIOUS,2.7615062761506275,NORMAL,SUSPICIOUS,10.0,NORMAL,1,NORMAL,NORMAL,SUSPICIOUS,256006.78241753485,2025-10-31 20:00:38.588185,False
A_89cf7b96c2,2.0933986535918283,NORMAL,851.633110419922,NORMAL,24.088541666666664,NORMAL,35.44926992957463,SUSPICIOUS,NORMAL,1,NORMAL,0.5,NORMAL,NORMAL,66.0,NORMAL,1,NORMAL,NORMAL,NORMAL,3986.1020945744626,2025-10-31 20:00:38.588185,False
A_9366ce5043,0.007794187926434219,NORMAL,1496.4697914114388,NORMAL,24.666666666666668,NORMAL,3.2118048327658117,NORMAL,NORMAL,1,NORMAL,8.294666666666666,NORMAL,NORMAL,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,370.0765521778123,2025-10-31 20:00:38.588185,False
A_946b028740,0.010142979067841349,NORMAL,175.55751314140625,NORMAL,21.705426356589147,NORMAL,1.0550987204891742,NORMAL,NORMAL,2,SUSPICIOUS,8.720930232558139,NORMAL,SUSPICIOUS,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,32.6852152883066,2025-10-31 20:00:38.588185,False
A_94cf7bdada,0.02331449850773005,NORMAL,103.51658403247863,NORMAL,15.384615384615385,NORMAL,0.061692610385640355,NORMAL,NORMAL,1,NORMAL,9.102564102564102,NORMAL,NORMAL,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,151.1655827940296,2025-10-31 20:00:38.588185,False
A_9788666227,2.782536251210292,NORMAL,33.828874411371764,SUSPICIOUS,24.066666666666666,NORMAL,0.19106448347510624,NORMAL,NORMAL,1,NORMAL,11.366666666666667,NORMAL,NORMAL,10.0,NORMAL,1,NORMAL,NORMAL,NORMAL,93205.34975337742,2025-10-31 20:00:38.588185,False
A_9a5e1e7fac,0.07226173909359886,NORMAL,37.34272484550525,SUSPICIOUS,29.252704031465093,SUSPICIOUS,1.9623492743628672,NORMAL,NORMAL,2,SUSPICIOUS,22.79596853490659,SUSPICIOUS,SUSPICIOUS,0.0,NO_REWARD,0,NO_REWARD,NO_REWARD,NORMAL,552.3614478640395,2025-10-31 20:00:38.588185,False
A_ace0a74506,0.04279763051751149,NORMAL,229.07635851029963,NORMAL,19.475655430711612,NORMAL,0.29205142303879084,NORMAL,NORMAL,1,NORMAL,1.2162921348314606,NORMAL,NORMAL,86.98177066666668,NORMAL,1,NORMAL,NORMAL,NORMAL,3736.806233781977,2025-10-31 20:00:38.588185,False
A_ae270b7bf6,1.0133686620848241,NORMAL,2907.8926156073207,NORMAL,26.550270921131848,NORMAL,7.587048109690718,NORMAL,NORMAL,1,NORMAL,1.8302227573750753,NORMAL,NORMAL,163.50942650000002,SUSPICIOUS,1,NORMAL,SUSPICIOUS,NORMAL,75678.2711320727,2025-10-31 20:00:38.588185,False
A_b2bc71e131,0.3006169494866701,NORMAL,573.4428575310897,NORMAL,29.665071770334926,SUSPICIOUS,1.498735522456177,NORMAL,NORMAL,1,NORMAL,0.7272727272727273,NORMAL,NORMAL,66.53475116666667,NORMAL,1,NORMAL,NORMAL,NORMAL,8063.331513993656,2025-10-31 20:00:38.588185,False
A_c462ca9c6b,2.1233561734238,NORMAL,697.3914658917114,NORMAL,25.563909774436087,NORMAL,0.9964083103405201,NORMAL,NORMAL,2,SUSPICIOUS,5.374865735767991,NORMAL,SUSPICIOUS,95.71786964226135,NORMAL,2,HIGH,HIGH,HIGH,305160.6463723429,2025-10-31 20:00:38.588185,False
A_c668740478,1.2830812140060348,NORMAL,58.83853517199873,SUSPICIOUS,26.871055004508566,NORMAL,0.29787775947373835,NORMAL,NORMAL,1,NORMAL,25.51307484220018,SUSPICIOUS,SUSPICIOUS,40.0,NORMAL,1,NORMAL,NORMAL,NORMAL,24121.48799268435,2025-10-31 20:00:38.588185,False
A_c91db6cabf,0.2543541875,NORMAL,23.189047993478262,SUSPICIOUS,28.26086956521739,SUSPICIOUS,0.017147071600852777,NORMAL,NORMAL,1,NORMAL,5.543478260869565,NORMAL,NORMAL,534.9120995000001,HIGH,1,NORMAL,HIGH,HIGH,1483.3680841874987,2025-10-31 20:00:38.588185,False
A_cab220ef3c,33.5566272968938,HIGH,3012.0902602322935,NORMAL,52.54237288135594,HIGH,0.5266746896444293,NORMAL,HIGH,1,NORMAL,3.2560696289509847,NORMAL,NORMAL,1773.536295645769,HIGH,1,NORMAL,HIGH,CRITICAL,34443866.53352949,2025-10-31 20:00:38.588185,False
A_cf3fcea289,12.080511039773986,SUSPICIOUS,7195.2848831032425,NORMAL,52.8328611898017,HIGH,23.585025407073736,SUSPICIOUS,SUSPICIOUS,1,NORMAL,1.2393767705382437,NORMAL,NORMAL,149.99880258,NORMAL,1,NORMAL,NORMAL,NORMAL,279308.69508467754,2025-10-31 20:00:38.588185,False
