account_id,total_pnl,total_funding,total_funding_abs,funding_profit_ratio
A_06d5bd3da9,5398.187089899996,-53.88340165620804,53.88340165620804,0.009883106217454956
A_0ad0445c5a,-650.0702950000058,-239.61799465457943,239.61799465457943,0.2693277276020814
A_0bfb0b4311,14608.248278099933,2721.490922008698,2721.490922008698,0.15704164578252813
A_0e72128b0d,11364.275070900076,15067.479016771336,15067.479016771336,0.5700521575958183
A_1a7c006b71,2351.2672280000015,-11.28450475500361,11.28450475500361,0.004776403336337214
A_1b6957bd93,2711.0440929000256,47.70482861206378,47.70482861206378,0.01729219029244827
A_1f97e16953,22089.010659999993,980.2332070486788,980.2332070486788,0.04249090998417598
A_26ffea8fd9,-48122.341114700066,2369.5210136163073,2369.5210136163073,0.04692876964342904
A_27fd29fd55,175.57872170000013,0.45206694702378497,0.45206694702378497,0.0025680983559751374
A_2ba62f7b20,-143.04336490001037,1.8088332718439046,1.8088332718439046,0.012487354747237955
A_2db64f326b,-29624.01696550005,-21989.199131351863,21989.199131351863,0.42603814232484777
A_33849d660b,32141.77146660006,1923.8686283500533,1923.8686283500533,0.05647533897828941
A_359a23d0bd,-1695.5077944999462,318.5034363037258,318.5034363037258,0.1581437448255367
A_3943c4c480,-135.80551059999937,7.707716048577946,7.707716048577946,0.05370698242657014
A_3b4f58349f,81.64486989994657,-0.140542891214441,0.140542891214441,0.001718413687776144
A_3cab2969e5,-21.651661099999973,0.11076455679976549,0.11076455679976549,0.00508948170873818
A_3cfd9478f0,-3.5783011999999164,0.0036629802423685034,0.0036629802423685034,0.0010223323645174728
A_4081f88bb0,-210185.15745307988,-731.2672682557472,731.2672682557472,0.003467094920439734
A_40cfe40ac2,-1022.8438175999992,24.520954400142646,24.520954400142646,0.023412025727473675
A_48fbd03d61,28.011792200036894,23.695748475097364,23.695748475097364,0.45825598954665997
A_4943ad62b4,214.6202494000088,0.6403240602909005,0.6403240602909005,0.002974632443672044
A_507a86d368,-14069.065368399964,22.441473796760594,22.441473796760594,0.001592553050253435
A_522c68dd44,-2662.6619746999777,184.13992678854456,184.13992678854456,0.0646830613711481
A_55021b4ae2,-385.5950500000001,-0.22084534283273982,0.22084534283273982,0.0005724097246609664
A_59b90616d6,-569.949915599992,5.5425344007598545,5.5425344007598545,0.009630925253367546
A_5cd5d675fd,127.0195819000001,0.18022937848966908,0.18022937848966908,0.0014168885927549634
A_60a63690ae,-252.16349338181058,56.37729469086226,56.37729469086226,0.1827217474917315
A_64a414bc30,1294.4860129999997,-25.452137540320997,25.452137540320997,0.019282811279521556
A_68f6513965,756.1464215999998,-1.9448457576999145,1.9448457576999145,0.0025654472963806854
A_6960c2ee08,325.3484178000063,1.9550177687886705,1.9550177687886705,0.005973086693405817
A_6b3a8b213d,1411.054562199999,0.0,0.0,0.0
A_7620582c70,-70.79866929999685,0.0,0.0,0.0
A_78e950c1a2,-136.0521235000123,-0.09980485693010928,0.09980485693010928,0.0007330349639521378
A_7ba723a337,-234.03478199999935,9.998237464185012,9.998237464185012,0.04097067075376514
A_7e27164ab6,642278.9157831998,45324.856859479565,45324.856859479565,0.0659171147641681
A_8413984c30,-10945.666531999661,450.8346810033523,450.8346810033523,0.039559039482216354
A_853f70d58b,-683.2589867999543,0.05552682125593399,0.05552682125593399,8.126088190457034e-05
A_8860be39b3,-20509.604421899476,253.35427631968363,253.35427631968363,0.012202223575158886
A_89cf7b96c2,103.041267000002,1413.0440911744838,1413.0440911744838,0.9320340385332173
A_9366ce5043,41.712644550000014,6.638400633990854,6.638400633990854,0.13729306813662553
A_946b028740,-4.618850000000064,-0.2297306861232133,0.2297306861232133,0.04737124732877853
A_94cf7bdada,13.50449720000087,0.0087094348395916,0.0087094348395916,0.0006444651228832137
A_9788666227,-9604.652610899986,-10.86283030056528,10.86283030056528,0.001129718862943257
A_9a5e1e7fac,4.777037999999573,7.8948496041736,7.8948496041736,0.622971642356698
A_ace0a74506,-2786.0705848000084,4.31029865599866,4.31029865599866,0.0015446984807184064
A_ae270b7bf6,23190.70278410006,3019.112234414393,3019.112234414393,0.11519013457712601
A_b2bc71e131,-1148.592513500013,114.11612469790806,114.11612469790806,0.09037400305328243
A_c462ca9c6b,16780.239392000098,1711.2078008214492,1711.2078008214492,0.0925404967192211
A_c668740478,160.35177249992807,19.49925742489969,19.49925742489969,0.10841833385505704
A_c91db6cabf,-290.14712999999847,0.2543541875,0.2543541875,0.0008758678088159059
A_cab220ef3c,-32107808.53764708,-16488.415770611624,16488.415770611624,0.0005132693112010397
A_cf3fcea289,-38682.885215589966,-9789.086964719698,9789.086964719698,0.20195354804941656
A_d444580218,-10331.609942439989,-5923.192704922875,5923.192704922875,0.36439644756236955
A_dae7cf0dd9,104.0493560000006,-3.936241855125538,3.936241855125538,0.036451207217458266
A_dcd87c6c96,-1788482.3138035,98.26760404580241,98.26760404580241,5.4941669954578076e-05
A_e27beda014,326.33991219999325,0.10686554801140591,0.10686554801140591,0.00032735878537331877
A_e7205c325a,-1421135.8828574999,238.25624422119358,238.25624422119358,0.00016762387713353412
A_e8e9d04acc,976.1802360000027,-15.908816846473657,15.908816846473657,0.01603565805425479
A_e95b2c5030,3720.2574539000198,0.0,0.0,0.0
A_ebdb869fd3,-8.202695820000317,0.8053608325876094,0.8053608325876094,0.08939457965959874
A_ef035876f1,2.812596699999859,-5.036373684787258,5.036373684787258,0.6415786860225001
A_f2ab53d645,-40898.195671899935,1843.0179035617314,1843.0179035617314,0.0431203914504534
A_f96ede8d34,-16004.684979210033,-9649.186412726396,9649.186412726396,0.3761298202979814
