account_id,final_risk,pattern1_risk,pattern2_risk,pattern3_risk,funding_fee_abs,mean_holding_minutes,funding_timing_ratio,funding_profit_ratio,ip_shared_count,mean_leverage,total_reward,total_profit_usd,reviewed,detection_time,risk_score
A_e7205c325a,CRITICAL,NORMAL,HIGH,HIGH,3.860496940139338,193.5614362121399,23.376623376623375,0.0185133863537173,1,64.06926406926407,584.7787135833333,1438819.9099843698,False,2025-10-31 20:00:38.588185,3
A_dcd87c6c96,CRITICAL,NORMAL,HIGH,HIGH,2.2942161777946275,137.67959262698412,20.66115702479339,0.00724392437753,1,61.16115702479339,584.82338025,1836912.3057778124,False,2025-10-31 20:00:38.588185,3
A_1f97e16953,CRITICAL,HIGH,HIGH,NO_REWARD,81.79935485961798,23.47124976493056,39.19597989949749,2.0834922679020913,3,10.195979899497488,0.0,66743.18182201347,False,2025-10-31 20:00:38.588185,3
A_d444580218,CRITICAL,HIGH,SUSPICIOUS,HIGH,47.96629570241461,6.961226379281346,87.27272727272727,24.00542072876913,2,7.004545454545455,336.89586676478524,37964.74257389878,False,2025-10-31 20:00:38.588185,3
A_cab220ef3c,CRITICAL,HIGH,NORMAL,HIGH,33.5566272968938,3012.0902602322935,52.54237288135594,0.5266746896444293,1,3.2560696289509847,1773.536295645769,34443866.53352949,False,2025-10-31 20:00:38.588185,3
A_6b3a8b213d,CRITICAL,HIGH,HIGH,NO_REWARD,0.0,0.8186012018518518,62.16216216216216,,3,7.0,0.0,2392.7516738000086,False,2025-10-31 20:00:38.588185,3
A_7620582c70,HIGH,HIGH,NORMAL,NORMAL,0.0,0.0306443265432098,41.9753086419753,,1,2.5,20.0,108.94439970000305,False,2025-10-31 20:00:38.588185,2
A_4081f88bb0,HIGH,NORMAL,SUSPICIOUS,HIGH,5.944400689432889,441.8922919696281,22.830336200156378,0.7192868199628918,2,22.695856137607507,40.398781979999995,498337.174579808,False,2025-10-31 20:00:38.588185,2
A_e95b2c5030,HIGH,SUSPICIOUS,HIGH,NO_REWARD,0.0,0.4788890552380953,22.857142857142858,,3,31.414285714285715,0.0,4754.965024099971,False,2025-10-31 20:00:38.588185,2
A_e27beda014,HIGH,NORMAL,SUSPICIOUS,HIGH,0.0917057859828514,19.79067424601064,24.33510638297873,0.019139775068379,2,10.20345744680851,13.9435062,1916.5488759439256,False,2025-10-31 20:00:38.588185,2
A_c91db6cabf,HIGH,NORMAL,NORMAL,HIGH,0.2543541875,23.189047993478265,28.26086956521739,0.0171470716008527,1,5.543478260869565,534.9120995000001,1483.3680841874989,False,2025-10-31 20:00:38.588185,2
A_c462ca9c6b,HIGH,NORMAL,SUSPICIOUS,HIGH,2.1233561734238,697.3914658917114,25.563909774436087,0.99640831034052,2,5.374865735767991,95.71786964226136,305160.6463723429,False,2025-10-31 20:00:38.588185,2
A_853f70d58b,HIGH,SUSPICIOUS,HIGH,NORMAL,0.0324564362577763,78.08431161238427,47.56944444444444,0.0638780576351307,1,42.791666666666664,106.0,1321.059803542692,False,2025-10-31 20:00:38.588185,2
A_59b90616d6,HIGH,NORMAL,HIGH,NORMAL,0.1112959830089446,39.68797632137042,26.0498687664042,0.337615936493412,1,40.45734908136483,35.45448905644916,4648.102150404276,False,2025-10-31 20:00:38.588185,2
A_4943ad62b4,HIGH,NORMAL,SUSPICIOUS,HIGH,0.0781324756792171,29.099476679867987,22.37623762376238,0.1509426016687574,2,8.243564356435643,37.42156931674209,2225.810617454216,False,2025-10-31 20:00:38.588185,2
A_48fbd03d61,HIGH,NORMAL,SUSPICIOUS,HIGH,1.0328054134373388,393.1024633135417,32.35294117647059,1.3480642424771148,2,0.6941176470588235,106.0,4596.837662006218,False,2025-10-31 20:00:38.588185,2
A_f96ede8d34,HIGH,SUSPICIOUS,SUSPICIOUS,HIGH,8.520530660624065,193.28628350928383,76.30922693266832,24.80425757757318,2,6.553615960099751,796.0282943435294,55854.858025264795,False,2025-10-31 20:00:38.588185,2
A_3cfd9478f0,HIGH,NORMAL,HIGH,NO_REWARD,0.0014210019823661,291.32357238026316,29.33753943217666,1.1849878954368294,1,35.16403785488959,0.0,11.751866394271984,False,2025-10-31 20:00:38.588185,2
A_27fd29fd55,HIGH,NORMAL,HIGH,NORMAL,0.1213600759624759,53.02829444710145,30.909090909090907,0.1894714321183921,1,47.74545454545454,10.0,384.3114751557724,False,2025-10-31 20:00:38.588185,2
A_2db64f326b,HIGH,HIGH,NORMAL,SUSPICIOUS,73.31082899819842,469.9646166408014,40.71661237785016,13.563535487413796,1,2.7035830618892507,263.123581851044,175662.30756371428,False,2025-10-31 20:00:38.588185,2
A_26ffea8fd9,HIGH,NORMAL,SUSPICIOUS,HIGH,6.040131299741508,1755.401665375055,27.7027027027027,3.2496030264234914,2,4.231660231660232,243.54482001104577,384756.897651765,False,2025-10-31 20:00:38.588185,2
A_e8e9d04acc,SUSPICIOUS,SUSPICIOUS,SUSPICIOUS,NORMAL,1.2878498573338786,14.807740033584906,38.70056497175141,0.7266845005330954,1,15.61864406779661,17.4480334,3898.899294061344,False,2025-10-31 20:00:38.588185,1
A_8860be39b3,SUSPICIOUS,SUSPICIOUS,SUSPICIOUS,NORMAL,63.935834969537744,83.57682780352113,18.410041841004183,0.299691286453159,2,2.7615062761506275,10.0,256006.78241753485,False,2025-10-31 20:00:38.588185,1
A_3cab2969e5,SUSPICIOUS,SUSPICIOUS,SUSPICIOUS,NO_REWARD,0.0158638170687386,9.559071414268868,25.66168009205984,0.175664676154703,1,17.578826237054084,0.0,63.21516761948082,False,2025-10-31 20:00:38.588185,1
