account_id,ip_shared_ratio,ip_score,concurrent_trading_ratio,concurrent_score,price_similarity_ratio,price_score,mean_leverage,leverage_score,organized_score,total_trades,risk_level
A_d444580218,0.25,0.3125,0.865909090909091,1.0,0.984251968503937,1.0,13.945701357466064,0.0,0.609375,440,High
A_e95b2c5030,0.16666666666666666,0.20833333333333331,0.32857142857142857,0.46938775510204084,0.9130434782608695,1.0,62.82857142857143,1.0,0.5637329931972789,70,Medium
A_55021b4ae2,0.0,0.0,0.7368421052631579,1.0,1.0,1.0,11.578947368421053,0.0,0.5,38,Medium
A_6b3a8b213d,0.07692307692307693,0.09615384615384616,0.5945945945945946,0.8494208494208495,0.9090909090909091,1.0,14.38888888888889,0.0,0.488480100980101,37,Medium
A_c91db6cabf,0.0,0.0,0.6086956521739131,0.8695652173913044,1.0,1.0,11.08695652173913,0.0,0.4608695652173913,46,Medium
A_f96ede8d34,0.0625,0.078125,0.47880299251870323,0.6840042750267189,0.984375,1.0,13.581395348837209,0.0,0.4325450325080157,802,Medium
A_e27beda014,0.041666666666666664,0.05208333333333333,0.4601063829787234,0.6572948328267478,1.0,1.0,20.40691489361702,0.013563829787234027,0.4174521909827761,752,Medium
A_dcd87c6c96,0.0,0.0,0.1487603305785124,0.21251475796930344,1.0,1.0,99.33557046979865,1.0,0.41375442739079105,242,Medium
A_e7205c325a,0.0,0.0,0.14285714285714285,0.20408163265306123,1.0,1.0,100.0,1.0,0.4112244897959184,231,Medium
A_8413984c30,0.1,0.125,0.3508771929824561,0.5012531328320802,1.0,1.0,10.426470588235293,0.0,0.3941259398496241,228,Medium
A_853f70d58b,0.0,0.0,0.08333333333333333,0.11904761904761905,1.0,1.0,85.58333333333333,1.0,0.3857142857142857,288,Medium
A_c668740478,0.0,0.0,0.09377817853922453,0.13396882648460648,1.0,1.0,48.61512027491409,0.9538373424971364,0.3832662493199524,1109,Medium
A_27fd29fd55,0.0,0.0,0.05818181818181818,0.08311688311688312,1.0,1.0,63.737864077669904,1.0,0.3749350649350649,275,Medium
