account_id,funding_arbitrage_score,organized_trading_score,bonus_abuse_score,quant_anomaly_score,mean_holding_minutes,funding_timing_ratio,concurrent_trading_ratio,ip_shared_ratio,total_reward,sharpe_ratio,win_rate,final_risk_score,final_risk_level,pattern_count
A_d444580218,0.6826133422874617,0.609375,0.555037908497751,0.0,6.954663085015291,0.8727272727272727,0.865909090909091,0.25,336.89586676478524,-1.590580526681652,0.6055045871559633,0.5290728343857887,High,3
A_55021b4ae2,0.3753847920160763,0.5,0.5184210526315789,0.0,27.68242732631579,0.2894736842105263,0.7368421052631579,0.0,534.89877,-0.1465929204903419,0.5263157894736842,0.39129964813113866,Medium,2
A_853f70d58b,0.3427940903221477,0.3857142857142857,0.4205726547337204,0.4,78.08431161238427,0.4756944444444444,0.0833333333333333,0.0,106.0,0.8855982404545801,0.0694444444444444,0.3819527580433884,Medium,1
A_7e27164ab6,0.2809084844107668,0.2329403606102635,0.5199669323322507,0.73,1301.1904501103204,0.2289644012944983,0.0768608414239482,0.0,177.79001880157895,3.0876396290222283,0.7171903881700554,0.3792950580032724,Medium,2
A_c91db6cabf,0.3845671748757561,0.4608695652173913,0.4,0.12,23.189047993478265,0.2826086956521739,0.6086956521739131,0.0,534.9120995000001,-0.6463771424818155,0.391304347826087,0.37467450028881377,Medium,1
A_e95b2c5030,0.413088491647619,0.5637329931972789,0.0,0.29,0.4788890552380953,0.2285714285714285,0.3285714285714285,0.1666666666666666,0.0,1.8596610501675648,0.4285714285714285,0.3647330951133333,Medium,2
A_4943ad62b4,0.3395120008268975,0.3680752003771806,0.4358514475239289,0.3,29.099476679867987,0.2237623762376237,0.3435643564356436,0.0476190476190476,37.42156931674209,-3.8491736976122777,0.4356435643564356,0.3628502098848682,Medium,1
A_26ffea8fd9,0.3345957112697809,0.2215181300560765,0.8194760693134023,0.12,1563.3472314108424,0.277027027027027,0.0395752895752895,0.0104166666666666,243.54482001104577,0.3639592425512155,0.7758241758241758,0.35980527276324153,Medium,1
A_6b3a8b213d,0.5480204283981481,0.488480100980101,0.0,0.12,0.7918286407407407,0.6216216216216216,0.5945945945945946,0.0769230769230769,0.0,1.231837019354607,0.6111111111111112,0.3533741638624798,Medium,2
A_f96ede8d34,0.2913858503012171,0.4325450325080157,0.5587765347394353,0.0,142.9252123066313,0.7630922693266833,0.4788029925187032,0.0625,796.0282943435294,0.2036749850078439,0.4986737400530504,0.3505618234160577,Medium,2
A_e27beda014,0.3726442788769694,0.4174521909827761,0.3355376435237167,0.05,19.79067424601064,0.2433510638297872,0.4601063829787234,0.0416666666666666,13.9435062,-1.9712490102442024,0.4281914893617021,0.3325090792118058,Medium,1
A_1f97e16953,0.6737025483153797,0.2789456159263529,0.0,0.12,8.826542724131944,0.3919597989949748,0.1658291457286432,0.0123456790123456,0.0,-0.6498262561300497,0.3645833333333333,0.31774173006883744,Medium,1
A_78e950c1a2,0.3943999840225435,0.3735269181856719,0.1137570221315311,0.28,9.736314781454006,0.2373887240356083,0.0548961424332344,0.0,21.55457236153846,-0.5755378080952853,0.3264094955489614,0.31380582099805443,Medium,0
A_c668740478,0.2944141613041764,0.3832662493199524,0.3680274843141384,0.1,58.46931402627714,0.2687105500450856,0.0937781785392245,0.0,40.0,-0.7802993413771074,0.6551724137931034,0.31107293251606394,Medium,0
A_cab220ef3c,0.4,0.2135462338852169,0.5207620461513969,0.0,2948.9205371200455,0.5254237288135594,0.0316078790655061,0.0,1773.536295645769,-0.3265252523596055,0.4717348927875243,0.29889359109010527,Low,1
A_e7205c325a,0.1561116640417227,0.4112244897959184,0.287918990855544,0.32,193.5568680078189,0.2337662337662337,0.1428571428571428,0.0,584.7787135833333,-0.529824356399767,0.3703703703703703,0.29634586881219704,Low,1
A_59b90616d6,0.3403498922035516,0.3730596175478065,0.1155870110171792,0.27,36.17601501872456,0.260498687664042,0.0538057742782152,0.0,35.45448905644916,-0.8139096611791065,0.3527815468113975,0.2962932360062336,Low,0
A_89cf7b96c2,0.4306107467747295,0.2133928571428571,0.2278007128993694,0.3,851.633110419922,0.2408854166666666,0.03125,0.0,66.0,0.8712833354823164,0.1901041666666666,0.2944308666122927,Low,1
A_e8e9d04acc,0.4627388083366319,0.2692100484261501,0.1031964284990779,0.25,14.807740033584906,0.3870056497175141,0.0310734463276836,0.0,17.4480334,-3.9758502614984113,0.4566037735849056,0.29118444514995767,Low,1
A_48fbd03d61,0.1667812397032257,0.2546420491273432,0.7041480046965417,0.05,213.54836223916664,0.3235294117647059,0.088235294117647,0.0384615384615384,106.0,-1.021088580420051,0.425,0.2874886900448462,Low,1
A_c462ca9c6b,0.138133096728488,0.2382537622400672,0.573238915797486,0.3,697.3914658917114,0.2556390977443609,0.0703544575725026,0.0185185185185185,95.71786964226136,-1.142361043373453,0.9054779806659506,0.2844765289620671,Low,1
A_4081f88bb0,0.1018970923195753,0.3158774555341578,0.6631551811436017,0.0,441.7552387700758,0.2283033620015637,0.0570758405003909,0.0111111111111111,40.398781979999995,0.9481308418640388,0.506198347107438,0.2737572733615482,Low,1
A_7620582c70,0.5097999323935185,0.0026455026455026,0.1799564457613163,0.55,0.0306443265432098,0.419753086419753,0.0061728395061728,0.0,20.0,-50.33512240056536,0.0,0.2723571947962447,Low,2
