account_id,mean_holding_minutes,holding_score,funding_timing_ratio,timing_score,funding_profit_ratio,funding_ratio_score,mean_abs_funding,funding_size_score,funding_arbitrage_score,total_funding,total_pnl,funding_count,risk_level
A_d444580218,6.954663085015291,0.9420444742915393,0.8727272727272727,1.0,0.0,0.0,47.96629570241461,1.0,0.6826133422874617,-5923.192704922875,-5355.090778240059,190.0,High
A_1f97e16953,8.826542724131944,0.9264454772989005,0.39195979899497485,0.7839195979899497,0.1161743464658514,0.16596335209407342,81.79935485961799,1.0,0.6737025483153797,980.2332070486788,7457.37145240005,17.0,High
A_6b3a8b213d,0.7918286407407407,0.9934014279938271,0.6216216216216216,1.0,0.0,0.0,0.0,0.0,0.5480204283981481,0.0,1485.5976541999903,0.0,Medium
A_7ba723a337,59.415550382075466,0.5048704134827044,0.13157894736842105,0.2631578947368421,1.547833269840874,1.0,1.4611629182670447,0.047314322084457586,0.5243477460416904,9.998237464185012,-3.538731999999657,40.0,Medium
A_7620582c70,0.030644326543209876,0.9997446306121399,0.41975308641975306,0.8395061728395061,0.0,0.0,0.0,0.0,0.5097999323935185,0.0,-108.94439969999642,0.0,Medium
A_e8e9d04acc,14.807740033584906,0.8766021663867924,0.3870056497175141,0.7740112994350282,0.0,0.0,1.2878498573338786,0.04170222374558066,0.4627388083366319,-15.908816846473657,-1929.6828665000178,22.0,Medium
A_89cf7b96c2,851.633110419922,0.0,0.24088541666666666,0.4817708333333333,0.9686776812380132,1.0,2.093398653591828,0.06778692294264169,0.43061074677472955,1413.0440911744838,45.69096439998815,675.0,Medium
A_0ad0445c5a,22.68570569133987,0.8109524525721677,0.25980392156862747,0.5196078431372549,0.0,0.0,10.435573368378705,0.33791719822253186,0.42387527628934385,-239.61799465457943,-4191.618350999983,24.0,Medium
A_60a63690ae,318.78166465308453,0.0,0.24601063829787234,0.4920212765957447,0.9196202997058033,1.0,0.07507041748008964,0.0024308760284446965,0.4233699505532028,56.37729469086226,4.9276750981887,798.0,Medium
A_e95b2c5030,0.4788890552380953,0.9960092578730159,0.22857142857142856,0.45714285714285713,0.0,0.0,0.0,0.0,0.413088491647619,0.0,3189.6899779000114,0.0,Medium
A_3cab2969e5,9.559071414268868,0.9203410715477595,0.2566168009205984,0.5132336018411968,0.0,0.0,0.015863817068738614,0.0005136906643986132,0.40448777552428683,0.11076455679976549,-15.22287180000024,7.0,Medium
A_cab220ef3c,2948.9205371200455,0.0,0.5254237288135594,1.0,0.0,0.0,33.5566272968938,1.0,0.4,-16488.415770611624,-42894.76745030002,5406.0,Medium
A_78e950c1a2,9.736314781454006,0.9188640434878833,0.23738872403560832,0.47477744807121663,0.0,0.0,0.00955468958299512,0.00030939305582912494,0.3943999840225435,-0.09980485693010928,-299.4704039000109,37.0,Medium
A_c91db6cabf,23.189047993478262,0.8067579333876811,0.2826086956521739,0.5652173913043478,0.0,0.0,0.2543541875,0.008236313555766032,0.38456717487575615,0.2543541875,-563.1319699999985,1.0,Medium
A_55021b4ae2,27.68242732631579,0.7693131056140351,0.2894736842105263,0.5789473684210527,-0.0005019680026888667,-0.0007170971466983811,0.01423608037804341,0.00046098247074722833,0.3753847920160763,-0.22084534283273982,440.17984999999953,21.0,Medium
A_e27beda014,19.79067424601064,0.835077714616578,0.24335106382978725,0.4867021276595745,0.0,0.0,0.09170578598285148,0.0029695505140159657,0.3726442788769694,0.10686554801140591,-530.106759399992,4.0,Medium
A_2db64f326b,230.6319848845173,0.0,0.40716612377850164,0.8143322475570033,0.0,0.0,73.31082899819842,1.0,0.3535830618892508,-21989.199131351863,-4351.479253199905,325.0,Medium
A_9a5e1e7fac,37.31727748812336,0.689022687598972,0.29252704031465093,0.5850540806293019,0.0,0.0,0.07226173909359886,0.0023399274339048833,0.35332131555210283,7.8948496041736,-44.24247820000045,150.0,Medium
A_8860be39b3,79.6170949943662,0.33652420838028163,0.18410041841004185,0.3682008368200837,0.016261542119989206,0.02323077445712744,63.93583496953775,1.0,0.34997670405624365,253.35427631968363,15326.611907099814,12.0,Medium
A_9788666227,33.828874411371764,0.7180927132385686,0.24066666666666667,0.48133333333333334,0.0,0.0,2.782536251210292,0.09010207880007373,0.34927645912491495,-10.86283030056528,-18055.527486300034,64.0,Medium
A_8413984c30,84.43229756299019,0.29639752030841515,0.20175438596491227,0.40350877192982454,0.011546942180066353,0.016495631685809076,87.70690393985439,1.0,0.3447451385807234,450.8346810033523,38592.807693999996,11.0,Medium
A_853f70d58b,78.08431161238427,0.34929740323013114,0.4756944444444444,0.9513888888888888,0.0,0.0,0.03245643625777632,0.0010509808725747017,0.34279409032214775,0.05552682125593399,-1204.663060399991,26.0,Medium
A_59b90616d6,36.176015018724556,0.6985332081772954,0.260498687664042,0.520997375328084,0.0,0.0,0.11129598300894465,0.0036039061222802827,0.34034989220355166,5.5425344007598545,-1726.3713612000306,141.0,Medium
A_4943ad62b4,29.099476679867987,0.7575043610011001,0.22376237623762377,0.44752475247524753,0.0,0.0,0.07813247567921716,0.002530029385037336,0.3395120008268975,0.6403240602909005,-655.4752143999949,43.0,Medium
A_26ffea8fd9,1563.3472314108424,0.0,0.27702702702702703,0.5540540540540541,0.3890696191595259,0.5558137416564657,6.040131299741508,0.19558716839551812,0.33459571126978094,2369.5210136163073,3720.7026813999782,2070.0,Medium
A_27fd29fd55,53.02829444710145,0.5580975462741546,0.3090909090909091,0.6181818181818182,0.0,0.0,0.12136007596247589,0.00392979431006433,0.32256418757421057,0.45206694702378497,-20.884539800002692,6.0,Medium
A_3b4f58349f,66.85680418901515,0.44285996509154046,0.36363636363636365,0.7272727272727273,0.0,0.0,0.05927023485398967,0.0019192459285984882,0.31496405823493373,-0.140542891214441,-1384.6847931000004,12.0,Medium
A_c668740478,58.46931402627714,0.5127557164476906,0.26871055004508565,0.5374211000901713,0.0,0.0,1.2830812140060346,0.04154780898217625,0.2944141613041764,19.49925742489969,-803.9606332000172,56.0,Low
A_f96ede8d34,142.9252123066313,0.0,0.7630922693266833,1.0,0.0,0.0,8.520530660624065,0.2759056686747809,0.2913858503012171,-9649.186412726396,-7000.544166490059,1626.0,Low
A_0e72128b0d,2593.3423640283745,0.0,0.28296703296703296,0.5659340659340659,0.0,0.0,29.27848978692251,0.9480749056839775,0.2836947523361131,15067.479016771336,-59324.79745210007,1214.0,Low
A_7e27164ab6,1301.1904501103204,0.0,0.22896440129449838,0.45792880258899676,0.14918502339781886,0.2131214619968841,21.100638546035807,0.6832656344296828,0.2809084844107668,45324.856859479565,258491.5439236987,2229.0,Low
