account_id,sharpe_score,winrate_score,pf_score,entropy_score,concentration_score,kelly_score,quant_anomaly_score,total_positions,sharpe_ratio,max_drawdown,win_rate,profit_factor,avg_holding_minutes,median_holding_minutes,time_entropy,position_concentration_hhi,avg_leverage,max_leverage,leverage_std,kelly_optimal,kelly_deviation,consistency_score,roi_pct,total_pnl,avg_trade_interval_min,trade_interval_cv,risk_level
A_7e27164ab6,1.0,0.6,1.0,0.0,1.0,0.6,0.73,541,3.0876396290222283,-9.39938237000708,0.7171903881700554,6.605917222792578,1611.6527370118608,2.1343435333333334,0.9106468500616083,0.9212453148649895,9.628465804066543,100,7.492505097888425,0.6071845291650293,0.5108998711243639,0.1327479960666827,0.15348335614716566,315385.29905139864,635.9037852175617,24.670728630142136,High
A_7620582c70,1.0,1.0,0.0,0.0,1.0,0.0,0.55,81,-50.33512240056536,-2.3186508110576156,0.0,0.0,0.030644326543209876,0.026456033333333337,0.6116830257822231,1.0,5.0,5,0.0,0.0,0.0,5.592791377840595,-0.029270720076624235,-108.94439969999644,112.95343337770832,3.3960018304030477,Medium
A_3cfd9478f0,1.0,1.0,0.0,0.0,0.0,1.0,0.55,152,-3.7509394879815643,-47.18531728024308,0.25,0.23639067484476398,291.32357238026316,3.7818038333333335,0.7815561277451121,0.4547264542936288,73.33552631578948,100,34.065372307515354,0.0,0.7333552631578948,0.3042413671579321,-0.09287263636863309,-7.217828000000044,1667.3404653075058,8.095808636693938,Medium
A_6960c2ee08,0.7,1.0,0.0,0.0,1.0,0.0,0.475,392,-2.0572678059872787,-33.44976942922204,0.9311224489795918,0.3382871177601268,169.73112886364797,6.510469425,0.9210277007437997,1.0,13.270408163265307,20,5.024578142563416,0.0,0.13270408163265307,0.10390771545216966,-0.0742158911476185,-2446.140544000019,136.47823768537936,7.4310090619222615,Medium
A_853f70d58b,0.0,1.0,0.0,0.0,1.0,1.0,0.4,144,0.8855982404545801,-2.4727633891665257,0.06944444444444445,0.04576570835893561,78.08431161238425,0.037816224999999995,0.6291808012470131,0.8802083333333334,85.58333333333333,100,33.548107613925474,0.0,0.8558333333333333,0.07379985337121502,-0.027616514076808478,-1204.663060399991,467.0317332157342,1.99346719345283,Medium
A_e7205c325a,0.0,0.6,0.0,0.0,1.0,1.0,0.32,81,-0.529824356399767,-7.275407701640189,0.37037037037037035,1.4294005528601739,193.56143621213994,0.26994603333333334,0.8899059858647729,0.9286694101508914,100.0,100,0.0,0.11126149453478043,0.8887385054652196,0.05886937293330744,0.029148652685271476,4747.505858999808,1488.7325306116668,1.4024131382406386,Medium
A_3b4f58349f,0.0,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,88,0.2681563454319262,-1.9736778875856387,0.06818181818181818,0.06636959091926246,66.85680418901516,0.08722795833333333,0.7106266622901323,0.9775309917355373,1.6136363636363635,5,1.0551659256327934,0.0,0.016136363636363636,0.02858556247069459,-0.02892967045186747,-1384.6847931000002,580.2249101871647,1.8615682438581567,Medium
A_89cf7b96c2,0.0,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,384,0.8712833354823164,-8.192358109870684,0.19010416666666666,1.0361569678601696,851.6331104199218,0.06467801666666667,0.8210242701033825,0.9948052300347223,1.0,1,0.0,0.006633734518473635,0.003366265481526365,0.04446249152753852,0.0009987168694157093,45.69096439998816,367.23642667393386,9.288404687165219,Medium
A_c462ca9c6b,0.0,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,931,-1.142361043373453,-87.264392188138,0.9054779806659506,0.8288739868964905,697.3914658917113,40.96950451666667,0.9637321457677693,0.9978540797290143,10.749731471535982,100,10.445799044101433,0.0,0.10749731471535982,0.03743937101580876,-0.10665940027207836,-28269.083329999954,213.24349716188172,9.077469298842999,Medium
A_0bfb0b4311,0.0,1.0,0.0,0.0,1.0,0.0,0.30000000000000004,2063,0.09839726829435537,-85.82572704551814,0.9621909840038778,0.6064652383818427,601.5890545921958,9.77667965,0.8895119316832965,0.9628549925998051,13.221037324285021,100,21.47379255561743,0.0,0.1322103732428502,0.002166373964719105,-0.08038548589149658,-19678.31226100002,156.56541641778205,20.032675882112766,Medium
A_4943ad62b4,1.0,0.0,0.0,0.0,0.5,0.0,0.3,505,-3.8491736976122777,-23.716050098482366,0.43564356435643564,0.5444808632596161,29.099476679867983,11.916428116666667,0.80636796378703,0.7432487011077346,16.487128712871286,50,19.781653674465524,0.0,0.16487128712871285,0.17128598142999324,-0.0305359604244262,-655.4752143999949,429.54609826018515,1.3588691680108653,Low
