Metric,Value
총 사용자 수,60
총 펀딩피 합계,"$13,335.05"
평균 (μ),$222.25
중앙값,$1.88
표준편차 (σ),"$7,472.01"
최소값,"$-21,989.20"
최대값,"$45,324.86"
25th percentile,$-0.66
75th percentile,$131.62
90th percentile,"$1,851.10"
95th percentile,"$2,736.37"
99th percentile,"$27,473.00"
μ + 2σ (임계값),"$15,166.27"
μ + 3σ (임계값),"$22,638.28"
2σ 초과 사용자 수,1 (1.67%)
3σ 초과 사용자 수,1 (1.67%)
