Metric,Value
총 계정 수,63
고위험 계정 수,2
중위험 계정 수,25
저위험 계정 수,36
평균 점수,0.2709
중앙값 점수,0.2551
95th percentile,0.5229
평균 보유시간(분),619.06
펀딩 시각 집중 평균(%),29.42
펀딩피 비중 평균(%),6.94
총 펀딩피 합계,$13335.05
총 거래 PnL 합계,$128063.76
