Metric,Value
보너스 받은 계정 수,49
고위험 계정 수,3
중위험 계정 수,15
저위험 계정 수,31
평균 점수,0.2743
총 보너스 지급액,$7713.75
거래 없는 계정,0
공유 IP 사용 계정,8
보너스 후 비활성 계정,3
