account_id,총_펀딩수익,펀딩_수취,펀딩_지불,펀딩_횟수,수익손실_비율
A_7e27164ab6,45324.856859479565,46179.09008929669,854.2332298171264,2229,54.05911228621096
A_0bfb0b4311,2721.490922008698,3244.614820463352,523.1238984546538,2620,6.20238308754041
A_33849d660b,1923.8686283500533,2069.6744655801913,145.80583723013817,1687,14.194729819447778
A_89cf7b96c2,1413.0440911744838,1413.044091174484,0.0,675,1413.044091174484
A_1f97e16953,980.2332070486788,1185.411119831092,205.1779127824135,17,5.777479182606724
A_359a23d0bd,318.5034363037258,395.19955377372776,76.69611747000201,166,5.152797388059459
A_e7205c325a,238.25624422119358,252.31526654540397,14.059022324210375,69,17.946857237071445
A_b2bc71e131,114.11612469790806,117.48206919577473,3.365944497866646,402,34.90315103835952
A_dcd87c6c96,98.26760404580241,115.66607117894539,17.39846713314299,58,6.648061021341861
A_60a63690ae,56.37729469086226,58.141743919986894,1.7644492291246379,798,32.951780623821996
A_1b6957bd93,47.70482861206378,50.49453105024126,2.7897024381774687,363,18.10032867993967
