Metric,Value
총 분석 계정,63
Critical 등급,0
High 등급,1
Medium 등급,13
Low 등급,49
다중 패턴 계정 (2+),7
평균 최종 점수,0.2451
중앙값 최종 점수,0.2392
최고 위험 점수,0.5291
펀딩피 고위험(>0.6),2
조직거래 고위험(>0.6),1
보너스 고위험(>0.6),3
퀀트 고위험(>0.6),1
